h,d1s3p,d1f2p,d1t2p,d1s5p,d2s5p,d3a5p
        0.50E+00,          13.39930323980,          21.00132714490,           5.79727933471,          14.75200036001,         102.80439393228,         639.04985651738
        0.20E+00,           8.78505662548,          21.34240716409,           3.77229391313,          17.86871066254,         125.22591616823,        2034.06265235436
        0.10E+00,           1.27540924369,           4.92612276240,           2.37530427501,           1.22780655023,           8.60380309355,         830.41484419408
        0.50E-01,           0.28863442572,           1.94152359329,           1.36425474185,           0.04029051361,           0.28232977529,         117.90524345218
        0.10E-01,           0.01120610449,           0.33208926575,           0.30967705677,           0.00005468029,           0.00038955837,           4.13252948207
        0.50E-02,           0.00279930812,           0.16309401404,           0.15749539780,           0.00000295734,           0.00002713044,           1.02915260810
        0.10E-02,           0.00011239440,           0.03216194927,           0.03193716046,           0.00000046844,           0.00000312438,           0.04113985696
        0.50E-03,           0.00002845378,           0.01605308457,           0.01599617700,           0.00000047358,           0.00000308841,           0.01030541525
        0.10E-03,           0.00000159311,           0.00320650965,           0.00320332342,           0.00000047392,           0.00000314004,           0.00075130942
        0.50E-04,           0.00000075372,           0.00160321184,           0.00160170440,           0.00000047392,           0.00000294760,           0.00013686906
        0.10E-04,           0.00000048512,           0.00032097672,           0.00032000648,           0.00000047393,           0.00000663354,           0.05165122131
        0.10E-05,           0.00000047413,           0.00003252327,           0.00003157501,           0.00000047398,           0.00013996164,         116.40307088520
        0.10E-06,           0.00000047224,           0.00000367746,           0.00000273297,           0.00000047224,           0.03185351018,      221373.08255312449
        0.10E-07,           0.00000046086,           0.00000079393,           0.00000012780,           0.00000045901,           4.55046355369,   222043937.45885288715
