n,h,tr,sp,bl
12,           0.08333333333,           0.01598707178,           0.01559527278,           0.01562026045
24,           0.04166666667,           0.01570800110,           0.01561497754,           0.01561629119
48,           0.02083333333,           0.01563911950,           0.01561615896,           0.01561623772
96,           0.01041666667,           0.01562195391,           0.01561623204,           0.01561623692
192,           0.00520833333,           0.01561766593,           0.01561623660,           0.01561623690
384,           0.00260416667,           0.01561659415,           0.01561623689,           0.01561623690
768,           0.00130208333,           0.01561632621,           0.01561623690,           0.01561623690
1536,           0.00065104167,           0.01561625923,           0.01561623690,           0.01561623690
3072,           0.00032552083,           0.01561624249,           0.01561623690,           0.01561623690
6144,           0.00016276042,           0.01561623830,           0.01561623690,           0.01561623690
 exatos,exatos,   1.5616237185895443E-002 ,   1.5616237185895443E-002 ,   1.5616237185895443E-002
